"@sourceA","fname_c1@sourceA","fname_c2@sourceA","lname_c1@sourceA","lname_c2@sourceA","by@sourceA","bm@sourceA","bd@sourceA","@sourceB","fname_c1@sourceB","fname_c2@sourceB","lname_c1@sourceB","lname_c2@sourceB","by@sourceB","bm@sourceB","bd@sourceB","Confidence"
"46","JOERG","PETER","BECK","NA","1996","10","8","46","JOERG","PETER","BECK","NA","1996","10","8","100"
"47","PATRICK","NA","SCHMID","NA","1945","6","5","47","PATRICK","NA","SCHMID","NA","1945","6","5","100"
"48","WERNER","NA","GUENTHER","NA","1956","1","25","48","WERNER","NA","GUENTHER","NA","1956","1","25","100"
"49","MANFRED","NA","WEISS","NA","1925","11","8","49","MANFRED","NA","WEISS","NA","1925","11","8","100"
"50","JOHANNES","NA","MUELLER","NA","1974","2","24","50","JOHANNES","NA","MUELLER","NA","1974","2","24","100"
"51","MATTHIAS","NA","MUELLLER","NA","1993","1","24","51","MATTHIAS","NA","MUELLLER","NA","1993","1","24","100"
"52","MICHAEL","NA","BECKER","NA","1998","10","30","52","MICHAEL","NA","BECKER","NA","1998","10","30","100"
"53","GERD","NA","LORENZ","NA","1940","5","23","53","GERD","NA","LORENZ","NA","1940","5","23","100"
"54","OTTO","NA","SCHUMACHER","NA","1963","3","27","54","OTTO","NA","SCHUMACHER","NA","1963","3","27","100"
"55","FRANK","NA","PETERS","NA","1990","7","1","55","FRANK","NA","PETERS","NA","1990","7","1","100"
"56","BERND","NA","BAUER","NA","1929","6","4","56","BERND","NA","BAUER","NA","1929","6","4","100"
"57","HORST","NA","MUELLER","NA","1941","11","6","57","HORST","NA","MUELLER","NA","1941","11","6","100"
"58","JOERG","NA","SCHROEDER","NA","1955","9","25","58","JOERG","NA","SCHROEDER","NA","1955","9","25","100"
"59","JOERG","NA","MUELLER","NA","1964","12","14","59","JOERG","NA","MUELLER","NA","1964","12","14","100"
"60","HELMUT","NA","MAIER","NA","1970","3","24","60","HELMUT","NA","MAIER","NA","1970","3","24","100"
"61","WALTER","NA","KLEIN","NA","2008","8","2","61","WALTER","NA","KLEIN","NA","2008","8","2","100"
"62","JUERGEN","NA","SCHNEIDER","NA","1951","2","13","62","JUERGEN","NA","SCHNEIDER","NA","1951","2","13","100"
"63","HELMUT","NA","PETERS","NA","2007","9","3","63","HELMUT","NA","PETERS","NA","2007","9","3","100"
"64","STEFAN","NA","KLEIN","NA","1986","11","15","64","STEFAN","NA","KLEIN","NA","1986","11","15","100"
"65","SVEN","NA","KRUEGER","NA","1965","8","19","65","SVEN","NA","KRUEGER","NA","1965","8","19","100"
"66","DENNIS","NA","KRAUSE","NA","1997","8","15","66","DENNIS","NA","KRAUSE","NA","1997","8","15","100"
"67","WALTER","HEINZ","SCHREIBER","NA","1978","5","27","67","WALTER","HEINZ","SCHREIBER","NA","1978","5","27","100"
"68","WOLFGANG","NA","RICHTER","NA","1980","2","7","68","WOLFGANG","NA","RICHTER","NA","1980","2","7","100"
"69","GERHARD","NA","RICHTER","NA","1956","8","28","69","GERHARD","NA","RICHTER","NA","1956","8","28","100"
"70","MICHAEL","NA","SCHROEDER","NA","1955","12","8","70","MICHAEL","NA","SCHROEDER","NA","1955","12","8","100"
"71","HOLGER","NA","MEYER","NA","1967","2","24","71","HOLGER","NA","MEYER","NA","1967","2","24","100"
"72","WOLFGANG","NA","WEISS","NA","1938","4","4","72","WOLFGANG","NA","WEISS","NA","1938","4","4","100"
"73","MAIK","NA","SCHMIDT","NA","1977","11","12","73","MAIK","NA","SCHMIDT","NA","1977","11","12","100"
"74","DIETER","NA","HOFFMANN","NA","1959","1","24","74","DIETER","NA","HOFFMANN","NA","1959","1","24","100"
"75","HERMAANN","NA","MUELLER","NA","1990","10","2","75","HERMAANN","NA","MUELLER","NA","1990","10","2","100"
"76","OTTO","NA","MAYER","NA","1958","2","15","76","OTTO","NA","MAYER","NA","1958","2","15","100"
"77","RAINER","NA","HUBER","NA","1958","1","19","77","RAINER","NA","HUBER","NA","1958","1","19","100"
"78","GERHARD","NA","SCHMIDT","NA","1957","11","17","78","GERHARD","NA","SCHMIDT","NA","1957","11","17","100"
"79","HORST","THOMAS","SCHROEDER","NA","1936","5","10","79","HORST","THOMAS","SCHROEDER","NA","1936","5","10","100"
"80","THORSTEN","NA","MAYER","NA","1993","9","18","80","THORSTEN","NA","MAYER","NA","1993","9","18","100"
"81","PETER","NA","SCHOLZ","NA","1982","9","12","81","PETER","NA","SCHOLZ","NA","1982","9","12","100"
"82","STEFAN","NA","KUHN","NA","1939","10","23","82","STEFAN","NA","KUHN","NA","1939","10","23","100"
"83","MATTHIAS","NA","MOELLER","NA","1956","6","28","83","MATTHIAS","NA","MOELLER","NA","1956","6","28","100"
"84","GERHARD","NA","SIMON","NA","1935","8","7","84","GERHARD","NA","SIMON","NA","1935","8","7","100"
"85","HARALD","NA","FUCHS","NA","1954","11","20","85","HARALD","NA","FUCHS","NA","1954","11","20","100"
"86","RUDOLF","NA","SCHMITZ","NA","2005","11","6","86","RUDOLF","NA","SCHMITZ","NA","2005","11","6","100"
"87","HEINZ","NA","MAOER","NA","1949","0","13","87","HEINZ","NA","MAOER","NA","1949","0","13","100"
"88","STEFAN","NA","HOFFMANN","NA","1934","4","1","88","STEFAN","NA","HOFFMANN","NA","1934","4","1","100"
"89","SVEN","NA","BAUER","NA","1935","1","23","89","SVEN","NA","BAUER","NA","1935","1","23","100"
"90","CHRISTIAN","NA","SCHMIDT","NA","1970","12","13","90","CHRISTIAN","NA","SCHMIDT","NA","1970","12","13","100"
"91","CHRISTIAN","NA","SCHROEDER","NA","1961","10","6","91","CHRISTIAN","NA","SCHROEDER","NA","1961","10","6","100"
"92","JUERGEN","NA","BRAUN","NA","2007","10","16","92","JUERGEN","NA","BRAUN","NA","2007","10","16","100"
"93","GERHARD","NA","WALTER","NA","1963","11","5","93","GERHARD","NA","WALTER","NA","1963","11","5","100"
"94","HELMUT","NA","SIMON","NA","1973","4","17","94","HELMUT","NA","SIMON","NA","1973","4","17","100"
"95","ANDREAS","NA","HOFFMANN","NA","1990","1","23","95","ANDREAS","NA","HOFFMANN","NA","1990","1","23","100"
"96","FRANK","NA","KRAUS","NA","1966","5","26","96","FRANK","NA","KRAUS","NA","1966","5","26","100"
"97","STEFAN","NA","BAUER","NA","1956","6","28","97","STEFAN","NA","BAUER","NA","1956","6","28","100"
"98","UWE","NA","JAEGER","NA","1960","10","23","98","UWE","NA","JAEGER","NA","1960","10","23","100"
"99","RALF","NA","HUBER","NA","1964","10","13","99","RALF","NA","HUBER","NA","1964","10","13","100"
"100","KURT","NA","SCHMIDT","NA","1959","8","31","100","KURT","NA","SCHMIDT","NA","1959","8","31","100"
"101","WERNER","NA","SIMON","NA","1971","4","29","101","WERNER","NA","SIMON","NA","1971","4","29","100"
"102","MICHAEL","NA","BAUMANN","NA","1927","9","29","102","MICHAEL","NA","BAUMANN","NA","1927","9","29","100"
"103","HANS","VOLKER","WAGNER","NA","1966","10","5","103","HANS","VOLKER","WAGNER","NA","1966","10","5","100"
"104","NORBERT","NA","SCHMIDT","NA","1935","6","16","104","NORBERT","NA","SCHMIDT","NA","1935","6","16","100"
"105","HERMANN","NA","HORN","NA","1939","7","12","105","HERMANN","NA","HORN","NA","1939","7","12","100"
"106","DIETER","NA","SCHAEFR","NA","1952","12","12","106","DIETER","NA","SCHAEFR","NA","1952","12","12","100"
"107","SVEN","NA","WINTER","NA","1993","6","16","107","SVEN","NA","WINTER","NA","1993","6","16","100"
"108","GUENTHER","NA","KRUEGER","MARTIN","1976","11","16","108","GUENTHER","NA","KRUEGER","MARTIN","1976","11","16","100"
"109","CHRISTIAN","NA","MUELLER","NA","1939","4","3","109","CHRISTIAN","NA","MUELLER","NA","1939","4","3","100"
"110","HEINZA","NA","WINKLER","NA","1965","12","7","110","HEINZA","NA","WINKLER","NA","1965","12","7","100"
"111","HEINZ","NA","BAUER","NA","2004","9","17","111","HEINZ","NA","BAUER","NA","2004","9","17","100"
"112","MARTIYN","NA","MAIRR","NA","2008","2","1","112","MARTIYN","NA","MAIRR","NA","2008","2","1","100"
"113","SVEN","NA","FISCHER","NA","1950","6","12","113","SVEN","NA","FISCHER","NA","1950","6","12","100"
"114","JUERGEN","NA","MEIER","NA","1952","8","13","114","JUERGEN","NA","MEIER","NA","1952","8","13","100"
"115","HERMANN","NA","SCHMIDT","NA","1954","8","26","115","HERMANN","NA","SCHMIDT","NA","1954","8","26","100"
"116","FRANK","NA","SCHULZ","NA","1959","5","18","116","FRANK","NA","SCHULZ","NA","1959","5","18","100"
"117","CHRISTOPH","NA","GUENTHER","NA","1986","5","8","117","CHRISTOPH","NA","GUENTHER","NA","1986","5","8","100"
"118","GERHARD","NA","WAGNER","NA","1950","5","30","118","GERHARD","NA","WAGNER","NA","1950","5","30","100"
"119","CHRISTIAN","NA","BRAUN","NA","1967","6","27","119","CHRISTIAN","NA","BRAUN","NA","1967","6","27","100"
"120","MAIK","NA","MEYER","NA","1948","10","27","120","MAIK","NA","MEYER","NA","1948","10","27","100"
"121","GUENTHER","NA","JUNG","NA","1955","11","6","121","GUENTHER","NA","JUNG","NA","1955","11","6","100"
"122","STEFAN","HORST","BECK","NA","2007","9","22","122","STEFAN","HORST","BECK","NA","2007","9","22","100"
"123","PETER","NA","SCHNEIDER","NA","1940","1","16","123","PETER","NA","SCHNEIDER","NA","1940","1","16","100"
"124","HANS","NA","SCHNEIDER","NA","1941","12","17","124","HANS","NA","SCHNEIDER","NA","1941","12","17","100"
"125","WERNER","NA","SCHMITT","NA","1927","1","19","125","WERNER","NA","SCHMITT","NA","1927","1","19","100"
"126","DENNIS","NA","SCHOLZ","NA","1983","7","24","126","DENNIS","NA","SCHOLZ","NA","1983","7","24","100"
"127","DETLEF","NA","SCHULZ","NA","2000","8","12","127","DETLEF","NA","SCHULZ","NA","2000","8","12","100"
"128","CHRISTIAN","NA","MUELLER","NA","2005","12","12","128","CHRISTIAN","NA","MUELLER","NA","2005","12","12","100"
"129","BERND","NA","SCHMID","NA","1957","1","28","129","BERND","NA","SCHMID","NA","1957","1","28","100"
"130","HEINRICH","CHRISTIAN","STEIN","NA","1946","6","29","130","HEINRICH","CHRISTIAN","STEIN","NA","1946","6","29","100"
"131","ALEXANDER","NA","WALTER","NA","2008","11","7","131","ALEXANDER","NA","WALTER","NA","2008","11","7","100"
"132","GUENTHER","NA","BECKER","NA","1925","7","16","132","GUENTHER","NA","BECKER","NA","1925","7","16","100"
"133","OLAF","NA","KAISER","NA","1941","9","3","133","OLAF","NA","KAISER","NA","1941","9","3","100"
"134","THOMAS","NA","JUNG","NA","1987","2","9","134","THOMAS","NA","JUNG","NA","1987","2","9","100"
"135","JOACHIM","NA","SCHULZ","NA","1959","8","15","135","JOACHIM","NA","SCHULZ","NA","1959","8","15","100"
"136","ROLF","WOLFGANG","KRAUSE","NA","1955","12","21","136","ROLF","WOLFGANG","KRAUSE","NA","1955","12","21","100"
"137","MAIK","NA","SCHMIDT","NA","1970","9","28","137","MAIK","NA","SCHMIDT","NA","1970","9","28","100"
"138","DANIEL","NA","SCHMIDT","NA","1964","11","15","138","DANIEL","NA","SCHMIDT","NA","1964","11","15","100"
"139","JUERGEN","NA","MUELLER","NA","1929","8","26","139","JUERGEN","NA","MUELLER","NA","1929","8","26","100"
"140","MATTHIAS","NA","SCHNEIDER","NA","1953","3","18","140","MATTHIAS","NA","SCHNEIDER","NA","1953","3","18","100"
"141","OLAF","NA","WAGNER","NA","1997","6","12","141","OLAF","NA","WAGNER","NA","1997","6","12","100"
"142","JOERN","NA","KOCH","NA","1987","12","17","142","JOERN","NA","KOCH","NA","1987","12","17","100"
"143","WOLFGANG","NA","JAEGER","NA","1952","6","5","143","WOLFGANG","NA","JAEGER","NA","1952","6","5","100"
"144","RENE","NA","VOGT","NA","1964","1","6","144","RENE","NA","VOGT","NA","1964","1","6","100"
"145","DANIEL","NA","BAUER","NA","1965","3","20","145","DANIEL","NA","BAUER","NA","1965","3","20","100"
"146","JOERG","NA","KOCH","NA","2001","2","3","146","JOERG","NA","KOCH","NA","2001","2","3","100"
"147","THORSTEN","NA","RICHTER","NA","1962","12","29","147","THORSTEN","NA","RICHTER","NA","1962","12","29","100"
"148","UWE","NA","SCHMIDT","NA","1982","11","26","148","UWE","NA","SCHMIDT","NA","1982","11","26","100"
"149","HEINRICH","NA","MUELLER","NA","1985","6","14","149","HEINRICH","NA","MUELLER","NA","1985","6","14","100"
"150","SEBASTIAN","NA","SCHNEIDER","NA","2001","5","3","150","SEBASTIAN","NA","SCHNEIDER","NA","2001","5","3","100"
"151","WERNER","NA","BECKER","NA","1994","9","21","151","WERNER","NA","BECKER","NA","1994","9","21","100"
"152","RENE","NA","WALTER","NA","1952","3","24","152","RENE","NA","WALTER","NA","1952","3","24","100"
"153","RALF","NA","MEYER","NA","1971","2","26","153","RALF","NA","MEYER","NA","1971","2","26","100"
"154","JAN","NA","MUELLER","NA","1970","10","22","154","JAN","NA","MUELLER","NA","1970","10","22","100"
"155","HORST","NA","WALTER","NA","1948","7","25","155","HORST","NA","WALTER","NA","1948","7","25","100"
"156","GUENTHER","NA","MEYER","NA","1978","5","17","156","GUENTHER","NA","MEYER","NA","1978","5","17","100"
"157","OTTO","NA","POHL","NA","1938","6","5","157","OTTO","NA","POHL","NA","1938","6","5","100"
"158","CHRISTIAN","NA","HOFMANN","NA","1966","6","21","158","CHRISTIAN","NA","HOFMANN","NA","1966","6","21","100"
"159","CARSTEN","NA","KOEHLER","NA","1969","12","14","159","CARSTEN","NA","KOEHLER","NA","1969","12","14","100"
"160","OTTO","NA","HARTMANN","NA","2000","6","5","160","OTTO","NA","HARTMANN","NA","2000","6","5","100"
"161","GUENTHER","NA","LORENZ","NA","1981","8","21","161","GUENTHER","NA","LORENZ","NA","1981","8","21","100"
"162","STEFAN","NA","SCHOLZ","NA","1962","1","30","162","STEFAN","NA","SCHOLZ","NA","1962","1","30","100"
"163","MICHAEL","NA","KELLER","NA","1984","8","5","163","MICHAEL","NA","KELLER","NA","1984","8","5","100"
"164","WOLFGANG","NA","HAAS","NA","1965","2","9","164","WOLFGANG","NA","HAAS","NA","1965","2","9","100"
"165","PHILIPP","NA","MUELLER","NA","1936","1","27","165","PHILIPP","NA","MUELLER","NA","1936","1","27","100"
"166","THORSTEN","NA","MOELLER","NA","1965","2","24","166","THORSTEN","NA","MOELLER","NA","1965","2","24","100"
"167","SVEN","NA","MUELLER","NA","1969","2","9","167","SVEN","NA","MUELLER","NA","1969","2","9","100"
"168","ANDREAS","NA","RICHTER","NA","1944","7","6","168","ANDREAS","NA","RICHTER","NA","1944","7","6","100"
"169","KURT","NA","BECKER","NA","1939","9","3","169","KURT","NA","BECKER","NA","1939","9","3","100"
"170","OLIVER","NA","MUELLRR","NA","1949","8","19","170","OLIVER","NA","MUELLRR","NA","1949","8","19","100"
"171","STEFAN","NA","SCHROEDER","NA","1929","8","17","171","STEFAN","NA","SCHROEDER","NA","1929","8","17","100"
"172","DENNIS","NA","DIETRICH","NA","1944","2","24","172","DENNIS","NA","DIETRICH","NA","1944","2","24","100"
"173","JUERGUEN","NA","WAGNER","HOFFMANN","1970","2","25","173","JUERGUEN","NA","WAGNER","HOFFMANN","1970","2","25","100"
"174","CHRISTIAN","NA","FISCHER","NA","1935","10","6","174","CHRISTIAN","NA","FISCHER","NA","1935","10","6","100"
"175","HELMUT","JUERGEN","HUBER","NA","1986","12","29","175","HELMUT","JUERGEN","HUBER","NA","1986","12","29","100"
"176","ANDREAS","VOLKER","MAYER","NA","1964","4","11","176","ANDREAS","VOLKER","MAYER","NA","1964","4","11","100"
"177","REINHARD","NA","MUELLER","NA","1997","5","11","177","REINHARD","NA","MUELLER","NA","1997","5","11","100"
"178","MARTIN","NA","SCHUBERT","NA","1948","11","20","178","MARTIN","NA","SCHUBERT","NA","1948","11","20","100"
"179","ANDRE","NA","FRANKE","NA","2007","6","23","179","ANDRE","NA","FRANKE","NA","2007","6","23","100"
"180","JOACHIM","NA","BRAUN","NA","1943","12","27","180","JOACHIM","NA","BRAUN","NA","1943","12","27","100"
"181","MATTHIAS","NA","MAYER","NA","1967","2","5","181","MATTHIAS","NA","MAYER","NA","1967","2","5","100"
"182","GUENTHER","OLAF","SCHMIDT","NA","1967","3","26","182","GUENTHER","OLAF","SCHMIDT","NA","1967","3","26","100"
"183","BERND","NA","HOFMANN","NA","1950","1","4","183","BERND","NA","HOFMANN","NA","1950","1","4","100"
"184","NILS","NA","BECKER","NA","1942","11","3","184","NILS","NA","BECKER","NA","1942","11","3","100"
"185","JOHANNES","NA","SCHAEFER","NA","1952","8","7","185","JOHANNES","NA","SCHAEFER","NA","1952","8","7","100"
"186","GUENTHER","NA","SCHMIDT","NA","1963","7","12","186","GUENTHER","NA","SCHMIDT","NA","1963","7","12","100"
"187","WILHELM","NA","WINTER","NA","1962","7","15","187","WILHELM","NA","WINTER","NA","1962","7","15","100"
"188","STEFAN","NA","SCHNEIDER","NA","1966","4","23","188","STEFAN","NA","SCHNEIDER","NA","1966","4","23","100"
"189","WOLFGANG","NA","SCHMIDT","NA","1975","7","1","189","WOLFGANG","NA","SCHMIDT","NA","1975","7","1","100"
"190","UWE","NA","LUDWIG","NA","1936","2","22","190","UWE","NA","LUDWIG","NA","1936","2","22","100"
"191","ERNST","NA","SCHULZ","NA","1926","6","2","191","ERNST","NA","SCHULZ","NA","1926","6","2","100"
"192","MARTIN","NA","KRAUS","NA","1986","7","9","192","MARTIN","NA","KRAUS","NA","1986","7","9","100"
"193","BERND","NA","MAIER","NA","1930","4","17","193","BERND","NA","MAIER","NA","1930","4","17","100"
"194","WALTER","NA","JUNG","NA","1996","10","26","194","WALTER","NA","JUNG","NA","1996","10","26","100"
"195","MANFRED","NA","BERGMANN","NA","1964","10","15","195","MANFRED","NA","BERGMANN","NA","1964","10","15","100"
"196","BERND","NA","MUELLER","NA","2003","9","8","196","BERND","NA","MUELLER","NA","2003","9","8","100"
"197","ANDREAS","NA","WAGNER","NA","1944","1","26","197","ANDREAS","NA","WAGNER","NA","1944","1","26","100"
"198","SVEN","NA","SCHMIDT","NA","1935","12","15","198","SVEN","NA","SCHMIDT","NA","1935","12","15","100"
"199","GUENTHER","NA","WEBER","NA","1960","7","6","199","GUENTHER","NA","WEBER","NA","1960","7","6","100"
"200","MICHAEL","NA","BECKER","NA","1942","3","26","200","MICHAEL","NA","BECKER","NA","1942","3","26","100"
"201","MICHAEL","NA","SCHMITZ","NA","2002","5","10","201","MICHAEL","NA","SCHMITZ","NA","2002","5","10","100"
"202","BERND","NA","BECKER","NA","1944","7","18","202","BERND","NA","BECKER","NA","1944","7","18","100"
"203","HERMANN","NA","WOLF","NA","1955","1","30","203","HERMANN","NA","WOLF","NA","1955","1","30","100"
"204","THOMAS","NA","BAUER","NA","1931","3","25","204","THOMAS","NA","BAUER","NA","1931","3","25","100"
"205","JOERG","NA","KRAUSE","NA","1984","4","11","205","JOERG","NA","KRAUSE","NA","1984","4","11","100"
"206","HEINZ","NA","GROSS","NA","1940","8","16","206","HEINZ","NA","GROSS","NA","1940","8","16","100"
"207","PETER","NA","SEIDEL","NA","1961","10","26","207","PETER","NA","SEIDEL","NA","1961","10","26","100"
"208","STEFAN","NA","SCHWARZ","NA","1963","10","29","208","STEFAN","NA","SCHWARZ","NA","1963","10","29","100"
"209","ROBEFRT","NA","WEBEE","NA","1926","6","16","209","ROBEFRT","NA","WEBEE","NA","1926","6","16","100"
"210","HANS","NA","SCHMID","NA","1963","2","25","210","HANS","NA","SCHMID","NA","1963","2","25","100"
"211","STEFAN","UWE","WAGNER","NA","1936","10","25","211","STEFAN","UWE","WAGNER","NA","1936","10","25","100"
"212","OLIVER","NA","SCHAEFER","NA","1977","9","1","212","OLIVER","NA","SCHAEFER","NA","1977","9","1","100"
"213","ANDRE","NA","SCHULZE","NA","2000","10","29","213","ANDRE","NA","SCHULZE","NA","2000","10","29","100"
"214","WERNER","NA","WALTER","NA","2002","12","31","214","WERNER","NA","WALTER","NA","2002","12","31","100"
"215","HARALD","NA","PETERS","NA","1966","4","16","215","HARALD","NA","PETERS","NA","1966","4","16","100"
"216","KLAUS","NA","SCHULZ","NA","1927","4","25","216","KLAUS","NA","SCHULZ","NA","1927","4","25","100"
"217","KARL","NA","HOFFMANN","NA","1985","2","11","217","KARL","NA","HOFFMANN","NA","1985","2","11","100"
"218","JAN","NA","MAYER","NA","1957","2","6","218","JAN","NA","MAYER","NA","1957","2","6","100"
"219","ERNST","NA","WOLFF","NA","1943","9","26","219","ERNST","NA","WOLFF","NA","1943","9","26","100"
"220","RALF","NA","HAHN","NA","1997","2","7","220","RALF","NA","HAHN","NA","1997","2","7","100"
"221","RAINER","NA","MUEGLLER","NA","1961","7","6","221","RAINER","NA","MUEGLLER","NA","1961","7","6","100"
"222","GERHARD","NA","WALTER","NA","1979","12","3","222","GERHARD","NA","WALTER","NA","1979","12","3","100"
"223","MATTHIAS","NA","KOERTIG","NA","1954","9","11","223","MATTHIAS","NA","KOERTIG","NA","1954","9","11","100"
"224","MICHAEL","NA","ALBRECHT","NA","1963","11","22","224","MICHAEL","NA","ALBRECHT","NA","1963","11","22","100"
"225","WOLFGANG","HANS","HAHN","NA","1967","8","11","225","WOLFGANG","HANS","HAHN","NA","1967","8","11","100"
"226","FRANK","NA","LEHMANN","NA","1951","8","18","226","FRANK","NA","LEHMANN","NA","1951","8","18","100"
"227","WERNER","NA","LUDWIG","NA","1937","12","21","227","WERNER","NA","LUDWIG","NA","1937","12","21","100"
"228","CHRISTIAN","NA","HORN","NA","1950","7","13","228","CHRISTIAN","NA","HORN","NA","1950","7","13","100"
"229","PETER","NA","KOERTIG","NA","1991","4","27","229","PETER","NA","KOERTIG","NA","1991","4","27","100"
"230","MARCO","NA","LEHMANN","NA","1944","7","18","230","MARCO","NA","LEHMANN","NA","1944","7","18","100"
"231","THOMAS","NA","STEIN","NA","1938","12","19","231","THOMAS","NA","STEIN","NA","1938","12","19","100"
"232","MANFRED","NA","SCHMITT","NA","1931","7","15","232","MANFRED","NA","SCHMITT","NA","1931","7","15","100"
