"id","fname_c1","fname_c2","lname_c1","lname_c2","by","bm","bd"
"4502","JAN","NA","RICHTER","NA","1934","9","27"
"402","FRIEDRICH","NA","MEYER","NA","1986","7","6"
"7202","BRIGITTE","NA","HUBER","NA","1978","10","22"
"6752","BIRGIT","NA","ERNST","NA","1936","9","8"
"5252","ILSE","NA","SCHMID","NA","1990","7","6"
"1452","WERNER","NA","HOFFMANN","NA","1962","11","26"
"5352","SABINE","NA","WEBER","NA","1977","12","16"
"8102","CHRISTEL","NA","GUENTHER","NA","1955","7","27"
"8302","JUTTA","NA","FUCHS","NA","1995","6","8"
"1702","HELMUT","NA","SCHMIDT","NA","2004","4","14"
"8852","ELKE","NA","GROSS","NA","1952","8","6"
"1302","STEFAN","NA","KRUEGDER","NA","1939","8","29"
"8752","HANNELORE","NA","SCHUSTER","NA","1970","5","8"
"2302","KURT","NA","MUELLER","NA","1937","10","1"
"6202","MARGARETE","NA","HUBER","NA","1940","1","14"
"4102","OLAF","NA","BECKER","NA","1974","7","1"
"7052","ANDREA","NA","KELLER","NA","1972","1","2"
"2452","JUERGEN","NA","SCHMIDT","NA","1962","6","14"
"6102","BARBARA","NA","WEBER","NA","1947","3","15"
"7652","CHRISTA","NA","BAUER","NA","1955","6","10"
"9602","PETRA","NA","ENGEL","NA","1938","7","6"
"4852","WILHELM","NA","GRAF","NA","1995","2","21"
"4352","MATTHIAS","NA","BECKER","NA","1997","1","7"
"8052","GISELA","NA","HOFFMANN","NA","1956","9","14"
"4452","OLAVF","NA","MEYER","NA","1939","7","28"
"2252","ROBERT","NA","LANG","NA","2007","9","24"
"7452","UTE","NA","SCHMIDT","NA","1941","2","6"
"4752","HORST","NA","MOELLER","NA","1945","9","19"
"7252","KATHRIN","NA","DIETRICH","NA","1928","10","5"
"9202","KATHRIN","NA","LANG","NA","1988","12","14"
"4252","STEFAN","STEFAN","LUDWIG","NA","1997","1","23"
"4152","ALEXANDER","NA","JAEGER","NA","1956","1","6"
"7852","MARTINA","NA","MUELLER","NA","1932","5","18"
"702","WILHELM","NA","BECKER","NA","1998","10","27"
"9302","ELKE","NA","SCHOLZ","NA","1975","7","17"
"2102","PETER","NA","KOCH","NA","1969","7","17"
"8502","ILSE","NA","MAYER","NA","1977","2","28"
"3102","STEFAN","KURT","KRAUSE","NA","1979","9","11"
"4652","GUENTHER","HELMUT","BRAUN","NA","1950","12","5"
"5602","SABINE","NA","LUDWIG","NA","1951","1","17"
"302","ERNST","NA","BRAUN","NA","1964","7","26"
"3252","ANDREAS","NA","MUELLER","NA","1953","11","19"
"4552","RUDOLF","NA","HOFFMANN","NA","1968","9","2"
"5702","HELGA","NA","LEHMANN","NA","1971","3","5"
"9702","BRIGITTE","NA","WEBER","NA","2006","6","28"
"5502","SABINE","NA","SCHWARZ","NA","1966","10","16"
"3952","HARALD","NA","DIETRICH","NA","2005","10","4"
"8452","BRIGITTE","NA","OTTO","NA","1989","4","23"
"5402","ELISABETH","NA","SCHMID","NA","1976","6","18"
"8352","RUTH","NA","MUELLER","NA","1986","7","24"
"3802","ROLF","NA","SCHUBERT","NA","1985","12","6"
"1602","KLAUS","NA","WEBER","NA","1983","6","29"
"3502","WERNER","NA","KRUEGER","NA","1963","12","8"
"3602","CHRISTIAN","NA","KOCH","NA","1943","9","24"
"3702","RENE","NA","BERGER","JUNG","1950","9","23"
"8202","MARIA","NA","WINTER","NA","1950","6","30"
"452","ANDREAS","NA","BECK","NA","1969","7","9"
"8902","MARTHA","NA","MEYER","NA","1949","6","4"
"552","MARTIZN","OLAF","SCHULZE","NA","1942","7","5"
"1802","HERBERT","NA","ALBRECHT","NA","1997","1","18"
"4052","THOMAS","NA","SCHULZ","NA","1929","4","10"
"2552","GERHARD","NA","SCHMITT","NA","1967","11","27"
"5302","SABINE","NA","HERRMANN","NA","1948","9","4"
"852","WOLFGANG","NA","HERRMANN","NA","2001","9","4"
"1402","GUENTHER","NA","SOMMER","NA","1929","3","13"
"952","KLAUS","NA","JUNG","NA","1975","5","30"
"5902","ELISABETH","NA","LUDWIG","NA","1940","8","21"
"5202","SILKE","HILDEGARD","LEHMANN","NA","1938","4","11"
"8602","HELGA","NA","WERNER","SCHULZ","1956","4","11"
"5002","BIRGIT","NA","MUELLER","NA","1972","6","26"
"8802","STEFANIE","URSULA","SOMMER","NA","1974","9","19"
"1202","THOMAS","NA","BUSCH","NA","1955","6","18"
"52","MICHAEL","NA","BECKER","NA","1998","10","30"
"2352","ROLF","NA","WOLF","NA","1939","10","25"
"5102","ANJA","NA","BAUER","NA","2008","3","28"
"8702","STEFANIE","NA","GRAF","NA","1941","11","28"
"4302","UWE","NA","MAIER","NA","1937","1","22"
"9452","RUTH","NA","MEIER","NA","1961","11","29"
"1002","SVEN","NA","SCHREIBER","NA","1985","9","17"
"1102","KLAUS","NA","STEIN","NA","1978","8","2"
"9552","NICOLE","STEFANIE","PETERS","NA","1999","8","12"
"4402","SVEN","NA","MEYER","NA","2003","10","16"
"7402","CHRISTINA","NA","RICHTER","NA","1976","7","4"
"7952","STEFANIE","NA","BAUER","NA","1947","7","17"
"9752","JULIA","NA","WAGNER","NA","2007","7","25"
"9652","BRIGIWTTE","NA","SCHMIDT","NA","1982","10","29"
"3152","WERNER","RALF","ZIEGLER","NA","1942","12","2"
"2152","FRIEDRICH","NA","MEYER","NA","1986","6","6"
"7802","STEFANIE","NA","MUELLER","NA","1992","7","21"
"3202","DIRK","NA","FISCHER","NA","1926","2","24"
"2652","PETER","NA","ALBRECHT","NA","1968","6","1"
"9252","KARIN","NA","OTTO","NA","1934","5","22"
"9352","ANNA","JOHANNA","HORN","NA","1983","1","24"
"1902","RAINER","NA","ROTH","NA","1966","8","20"
"3552","MANFRED","NA","WINKLER","NA","1995","10","6"
"2752","CHRISTIAN","NA","WEBER","NA","1969","5","14"
"6152","TANJAB","NA","ZIEGLER","NA","1936","3","26"
"3352","HORST","NA","HOFMANN","NA","1944","11","4"
"5552","SUSANPNE","NA","RICHTER","NA","1998","6","23"
"6402","HELGA","NA","BECK","NA","1993","11","13"
"9152","INGRID","NA","SCHULZE","NA","1966","6","15"
"3002","WALTER","NA","KOCH","NA","1928","10","1"
"6552","LIESELOTTE","NA","SCHNEIDER","NA","1976","4","2"
"7552","ELISABETH","NA","BECKER","NA","1937","12","21"
"3402","TOBIAS","NA","SEIDEL","NA","1942","2","12"
"5452","HELGA","NA","WAGNER","NA","1961","10","26"
"9052","BRIGITTE","NA","MAIER","NA","1968","11","15"
"9802","ELKE","NA","HARTMANN","NA","1944","11","5"
"6302","HELGA","NA","HOFFMANN","NA","1964","5","7"
"6802","RENATE","NA","FRIEDRICH","NA","1962","11","23"
"7102","UTE","NA","PETERS","NA","1942","8","26"
"8652","ANDREA","NA","SCHWEARZ","NA","1960","4","8"
"8552","WALTRAUD","NA","SCHMIDT","NA","1991","6","28"
"9902","GABRIELE","NA","HEINRICH","NA","1959","3","14"
"5802","BRIGITTE","NA","MUELLER","NA","1973","3","23"
"4802","WALTER","NA","KRUEGER","NA","1952","7","29"
"8952","MARIANNE","NA","KOCH","NA","1970","5","35"
"1502","OLAF","NA","WEISS","NA","1974","3","18"
"6002","INGEBORG","NA","SCHULZE","NA","1980","10","14"
"102","MICHAEL","NA","BAUMANN","NA","1927","9","29"
"5152","KARIN","NA","SCHNEIDER","NA","1944","12","6"
"5052","EDITH","NA","SCHMIDT","NA","1989","2","15"
"6952","HELGA","NA","RICHTER","NA","1986","6","27"
"5952","CHRISTA","NA","SCHMIDT","NA","1943","3","25"
"4952","STEFAN","NA","BOEHM","NA","1937","10","26"
"1352","WERNER","NA","FISCHER","NA","1966","2","20"
"7702","ANTJE","SANDRA","WEBER","NA","1962","1","22"
"2702","PETER","NA","BECKER","NA","1930","1","30"
"2052","RAINER","NA","FRANK","NA","1955","2","19"
"2602","ROLF","NA","LANGE","NA","1960","2","25"
"4002","GUENTHER","NA","KOERTIG","NA","1950","7","30"
"1252","MANFRED","NA","SCHULTE","NA","1982","12","6"
"7302","ANJA","NA","KRAUSE","NA","1999","9","2"
"2402","THOMAS","NA","KRAUSE","NA","1958","8","18"
"1052","JOACHIM","NA","LEHMANN","NA","1959","5","10"
"9102","ELFRIEDE","NA","WAGNER","NA","1973","2","15"
"3052","HELMPUT","NA","BERGER","SCHAEFER","1964","7","31"
"9002","STEFANIE","NA","WEBER","NA","1997","6","10"
"1152","HELMUT","NA","RICHTER","NA","1970","7","15"
"7902","GISELA","NA","SCHULZ","NA","1941","8","19"
"2502","KARL","NA","MUELLER","NA","1941","3","6"
"9502","GABRIELE","NA","BRAUN","NA","1957","10","4"
"2902","MANFRED","NA","SCHMIDT","NA","1935","7","15"
"6452","GISELA","NA","FISCHER","NA","1997","5","24"
"1752","CHRISTIAN","NA","WINKLER","NA","1973","10","29"
"3302","WILHELM","NA","WEISS","NA","1932","8","1"
"7502","HEIDI","NA","HOFFMANN","NA","1967","7","1"
"2802","PETER","NA","WINTER","NA","1930","7","14"
"502","MARCEL","NA","NEUMANN","NA","1931","9","21"
"6502","KATHARINA","NA","RICHTER","NA","1960","5","1"
"3452","PETER","NA","HOFMANN","NA","1938","3","26"
"1852","BERND","NA","SIMON","NA","1983","10","28"
"6252","BEATE","NA","MAYER","NA","2000","11","25"
"9402","PETRA","NA","GUENTHER","NA","1940","1","6"
"1652","WERNER","NA","WINTER","NA","1941","9","24"
"8252","INGRID","NA","GUENTHER","NA","1936","4","13"
"6052","LIESELOTTE","NA","KLEIN","NA","1958","10","8"
"6652","HEIKE","NA","BECK","NA","1980","3","27"
"8152","ERIKA","NA","WEISS","NA","2007","9","14"
"1552","GERD","NA","KRAUS","NA","1940","6","24"
"6702","GERDA","NA","KRAUSE","NA","2007","4","4"
"7002","JUTTA","NA","SCHROEDER","NA","2004","1","10"
"3902","ANDREAS","NA","SCHOLZ","NA","1943","6","14"
"1952","HELMUT","NA","LEHMANN","NA","1956","8","27"
"4702","KLAUS","NA","MARTIN","NA","1979","3","17"
"4902","SVEN","NA","HARTMANN","NA","1976","1","27"
"3752","FRANK","NA","KRAUSE","NA","1983","3","28"
"9852","ANJA","NA","BECKER","NA","1934","11","12"
"6852","ANGELIKA","NA","KLEIN","NA","1959","11","26"
"6902","ANGELIKA","NA","KELLER","NA","1992","10","31"
"9952","PETRA","NA","MUELLER","NA","1948","5","13"
"3652","GERHARD","NA","SCHOLZ","NA","1936","5","6"
"8402","JUTTA","CHRISTA","SCHUMACHER","NA","2006","11","9"
"752","KLAUS","NA","WOLF","NA","1972","10","16"
"252","KLAUS","NA","SCHROEDER","NA","1969","7","29"
"7152","KATHRIN","NA","SCHMIDT","NA","1944","3","25"
"652","THORSTEN","NA","LANGE","NA","1980","7","29"
"352","JOERG","NA","WERNER","NA","1961","7","22"
"8002","ERIKA","NA","SCHMIDT","NA","1999","9","11"
"5852","MONIKA","NA","WALTER","NA","2000","11","92"
"902","MARTIN","NA","WEBER","NA","1929","9","27"
"803","ANDREAS","NA","FRANKE","NA","2003","9","2"
"7753","KERSTIN","NA","BECKER","NA","1962","2","25"
"4203","PETER","NA","WEBER","NA","1989","10","10"
"2003","ERICH","NA","HUBER","NA","1943","1","77"
"4103","FRANK","NA","SCHMIDT","NA","1970","9","15"
"6353","MAIKE","NA","HOFFMANN","NA","1958","7","11"
"153","RALF","NA","MEYER","NA","1971","2","26"
"2953","PAUL","NA","MAIER","NA","1958","10","8"
"7603","ANNA","NA","BERGMANN","LANGE","1978","3","29"
"7353","INGRID","NA","MOELLER","NA","1959","3","22"
"2853","HANS","NA","HOFFMANN","NA","1943","8","24"
"2203","WERNER","NA","MEIER","NA","1959","2","4"
"603","ULRICH","NA","KRUEGER","NA","1977","11","16"
"203","HERMANN","NA","WOLF","NA","1955","1","30"
"3853","MICHAEL","NA","SCHMITZ","NA","1988","6","3"
"4603","THORSTEN","NA","KOCH","NA","1939","12","19"
"3","HERBERT","NA","ZIMMERMANN","NA","1961","11","6"
"5653","CLAUDIA","NA","SCHWARZ","NA","1951","1","30"
"6603","STEFANIE","NA","ZIMMERMANN","NA","1962","10","20"
"403","MANFRED","NA","MEYER","NA","1972","6","13"
"7203","HANNELORE","NA","SCHMITT","NA","1998","2","10"
"4503","WALTER","WERNER","POHL","NA","1965","10","2"
"5253","RENATE","NA","HORN","NA","1994","11","81"
"5753","BILRGIT","NA","KOEHLER","NA","1994","5","8"
"6753","BRIGITTE","NA","WINTER","NA","1951","4","23"
"2453","ROLF","NA","SCHNEIDER","NA","1957","5","12"
"1453","GEORG","NA","ZIEGLER","NA","1972","5","25"
"8103","BIRGIT","NA","SCHNEIDER","NA","1971","8","15"
"8303","ELISABETH","NA","BECKER","NA","1989","1","8"
"5353","SABINE","NA","SCHULZ","NA","1942","3","8"
"1703","MATTHIAS","NA","FISCHER","NA","1997","8","13"
"8853","ANNA","NA","MUELLER","NA","1942","3","16"
"2303","OLIVER","NA","LUDWIG","NA","1948","12","25"
"1303","KURT","NA","KOEHLER","NA","1962","1","25"
"8753","GERTRUD","NA","MYAER","NA","1952","2","27"
"6203","HERTHA","NA","HOFMANN","NA","1933","5","26"
"7053","BRIGITTE","NA","SCHWARZ","NA","1977","1","29"
"6103","URSULA","NA","LANGE","NA","1926","9","14"
"7653","ANNA","NA","BRANDT","NA","1998","5","24"
"4853","NORBERT","NA","MAIER","NA","1930","8","4"
"4353","DIETER","NA","KRAUSE","NA","1962","6","16"
"4453","ROBERT","NA","SEIDEL","NA","2000","3","24"
"2253","PAUL","FRANK","MUELLER","NA","1981","7","2"
"4753","HERMANN","NA","ALBRECHT","NA","1943","11","12"
"8053","MARLIS","NA","HOFFMANN","NA","1942","10","22"
"7453","SUSANNE","NA","MUELRER","NA","1956","9","29"
"7253","INGRID","NA","BAUMANN","NA","1972","8","10"
"4253","GUENTHER","NA","PFEIFFER","NA","1995","8","8"
"9203","MARGARETE","NA","SCHMIDT","NA","1970","2","6"
"703","BERND","NA","ROTH","NA","1988","10","31"
"2103","MICHAEL","HORST","HARTMANN","NA","1947","9","3"
"7853","BIRGIT","NA","LANGE","NA","1955","1","7"
"4153","THORSTEN","NA","SCHWARZ","NA","1969","5","17"
"9303","ILSE","ANNA","SCHUMACHER","NA","1958","12","25"
"3103","HORST","NA","HUBER","NA","1993","3","4"
"4653","MARTIN","NA","SCHROEDER","NA","1928","9","29"
"5603","BIRGIT","NA","SCHNEIDER","NA","1940","9","11"
"3253","GUENTHER","NA","MUELLER","NA","1989","11","30"
"303","PETER","NA","KRAUS","NA","1957","6","3"
