                          Output from Link Plus Version 2.0 Sun Dec 27 03:27:32 2015

C:\RegPlus\LinkPlus\Configuration\rRLdata10000.cfg
Data = C:\RegPlus\LinkPlus\data\RLdata10000c.csv
Number of Records = 10000

                                             Linking Process
Direct method is employed
Cutoff Value=10.0

Field for Blocking
dummy

                                         Matching Parameters
           Matching Field   m-prob   u-prob      agree   disagree     matching method
                 fname_c1  0.96000  0.00956    4.19604   -2.92121           first name
                 fname_c2  0.96000  0.86719    0.09254   -1.09229           first name
                 lname_c1  0.97000  0.01723    3.66885   -3.17599            last name
                 lname_c2  0.97000  0.97000    0.00000    0.00000            last name
                       bd  0.95000  0.03268    3.06731   -2.69659       generic string
                       bm  0.95000  0.08309    2.21787   -2.64788       generic string
                       by  0.95000  0.01263    3.93276   -2.71527       generic string
Cutoff Value=10.0

m-prob: The probability that a matching variable agrees given that the comparison pair being examined is a match
u-prob: The probability that a matching variable agrees given that comparison pair being examined as a non-match
agree: The agreement weight assigned for an agreement on a given matching variable
disagree: The disagreement weight assigned for a disagreement on a given matching variable
matching method: The method used for computing the weight on a given matching variable.

                                                Match Report
Sorted by score descently (higher score, higher likelihood of being a matched pair)
                                   Number of Matched Pairs =     898

Linkage ID	Set ID	Record #	   id	  fname_c1	  fname_c2	   lname_c1	  lname_c2	bd	bm	  by	 Class	 Score
        47	    57	    6330	 6330	  GERTRUCD	        NA	    MUELLER	        NA	19	11	1986		
        47	    57	    8192	 8192	   GERTRUD	        NA	    MUELLER	        NA	19	11	1986	     0	  19.7

        48	    55	     722	  722	    KALAUS	        NA	       WOLF	        NA	16	10	1972		
        48	    55	     752	  752	     KLAUS	        NA	       WOLF	        NA	16	10	1972	     0	  19.5

        49	   849	    7211	 7211	  STEFANIE	     HEIKE	     BECKER	        NA	12	12	1975		
        49	   849	    7999	 7999	  STEFANIE	     HEIKE	     BECKER	        NA	12	 4	1975	     0	  19.4

        50	   848	    2958	 2958	     WILLI	        NA	      FUCHS	        NA	21	10	1947		
        50	   848	    4811	 4811	    WILLIA	        NA	      FUCHS	        NA	21	10	1947	     0	  19.3

        51	   847	    8121	 8121	 ELISABETH	  ANGELIKA	      BAUER	        NA	16	 6	1944		
        51	   847	    9521	 9521	ELISABRETH	  ANGELIKA	      BAUER	        NA	16	 6	1944	     0	  19.3

        52	   846	    8379	 8379	 CHRISTINA	      ANNA	     FRANKE	        NA	13	 8	1997		
        52	   846	    9870	 9870	 CHRISTINA	       ANN	     FRANKE	        NA	13	 8	1997	     0	  19.2

        53	   171	    2043	 2043	      HANS	        NA	       ENGL	        NA	19	10	1962		
        53	   171	    4226	 4226	      HANS	        NA	      ENGEL	        NA	19	10	1962	     0	  19.1

        54	   844	    3284	 3284	     WILLI	    WERNER	    SCHMIDT	        NA	19	 6	1962		
        54	   844	    4974	 4974	    WILLMI	    WERNER	    SCHMIDT	        NA	19	 6	1962	     0	  19.1

        55	   843	     479	  479	      MAIK	        NA	    SCHULZE	        NA	15	 1	1961		
        55	   843	    4703	 4703	     MASIK	        NA	    SCHULZE	        NA	15	 1	1961	     0	  19.0

        56	   842	    4290	 4290	     FRITZ	        NA	     WAGNER	        NA	10	14	1961		
        56	   842	    4590	 4590	     FRITZ	        NA	     WAGNER	        NA	10	12	1961	     0	  19.0

        57	   841	      79	   79	     HORST	    THOMAS	  SCHROEDER	        NA	10	 5	1936		
        57	   841	    4127	 4127	     HORST	    THOMAS	 SCHROEADER	        NA	10	 5	1936	     0	  19.0

        58	   840	    3703	 3703	  RUEDIGER	        NA	      LANGE	        NA	20	12	1941		
        58	   840	    3766	 3766	  RUEDIGER	        NA	     LANGER	        NA	20	12	1941	     0	  19.0

        59	   839	    5172	 5172	    SILVIA	        NA	   GUENTHER	        NA	30	11	1926		
        59	   839	    7637	 7637	    SILVIA	        NA	   GUENTHER	        NA	30	11	1958	     0	  19.0

        60	   838	     678	  678	      GERD	        NA	       LANG	        NA	20	12	1933		
        60	   838	     723	  723	      GERD	        NA	       LANG	        NA	20	12	1938	     0	  18.9

        61	   837	    6751	 6751	CHRISTIANE	        NA	      KLEIN	        NA	16	10	1986		
        61	   837	    8147	 8147	CHRISTIANE	        NA	      KLEIN	        NA	18	10	1986	     0	  18.9

        62	   836	    1671	 1671	   WILHELM	  WOLFGANG	      KRAUS	        NA	26	11	1973		
        62	   836	    1734	 1734	  WILHELIM	  WOLFGANG	      KRAUS	        NA	26	11	1973	     0	  18.9

        63	   835	      28	   28	   JOACHIM	        NA	      KUEHN	        NA	21	11	1994		
        63	   835	    3391	 3391	   JOACHIM	        NA	      KUEHN	        NA	71	11	1994	     0	  18.9

        64	   834	    5475	 5475	    GISELA	    ANGELA	   ALBRECHT	        NA	27	12	1960		
        64	   834	    6803	 6803	    GISELA	    ANGELZ	   ALBRECHT	        NA	27	12	1960	     0	  18.8

        65	   833	    5365	 5365	    NICOLE	    URSULA	      SIMON	        NA	 6	 1	1974		
        65	   833	    5680	 5680	    NICOLE	    URSULA	      SIMON	        NA	 6	 1	1975	     0	  18.7

        66	   196	      85	   85	    HARALD	        NA	      FUCHS	        NA	20	11	1954		
        66	   196	    2623	 2623	   HARAJLD	        NA	      FUCHS	        NA	20	11	1954	     0	  18.7

        67	   345	    2126	 2126	     HEINZ	        NA	    KRAEMDR	        NA	17	 1	1965		
        67	   345	    2267	 2267	     HEINZ	        NA	    KRAEMER	        NA	17	 1	1965	     0	  18.7

        68	   830	    8691	 8691	    INGRID	     HELGA	     KRAUSE	        NA	20	 4	2004		
        68	   830	    9208	 9208	    INGRID	     HELGA	     KRAUSE	        NA	20	 4	2009	     0	  18.7

        69	   151	    6644	 6644	   BARBARA	        NA	      VOIGT	        NA	19	12	1995		
        69	   151	    7805	 7805	   BARBARA	        NA	      VOIGT	        NA	19	12	1996	     0	  18.6

        70	   828	    7245	 7245	   BAERBEL	      ANNA	    SCHMIDT	        NA	 1	 9	1972		
        70	   828	    8267	 8267	  BAERBEGL	      ANNA	    SCHMIDT	        NA	 1	 9	1972	     0	  18.6

        71	   827	     582	  582	    STEFAN	      RALF	 SCHUMACHER	        NA	 5	 1	1982		
        71	   827	    4610	 4610	    STEFAN	      RALF	 SCHUMACHER	        NA	 0	 1	1982	     0	  18.6

        72	   826	    2294	 2294	    ULRICH	     KLAUS	       VOGT	        NA	 9	11	2006		
        72	   826	    3797	 3797	    ULRICH	     KLAUZ	       VOGT	        NA	 9	11	2006	     0	  18.6

        73	   825	    8606	 8606	     HELGA	 KATHARINA	      KLEIN	        NA	18	 4	1951		
        73	   825	    9299	 9299	    HELGVA	 KATHARINA	      KLEIN	        NA	18	 4	1951	     0	  18.6

        74	    23	    1241	 1241	    ROBERT	        NA	      KLEIN	        NA	14	10	1942		
        74	    23	    3213	 3213	   ROBERET	        NA	      KLEIN	        NA	14	10	1942	     0	  18.5

        75	   823	    5849	 5849	     ERIKA	    INGRID	    LEHMCNN	        NA	29	 1	1963		
        75	   823	    7278	 7278	     ERIKA	    INGRID	    LEHMANN	        NA	29	 1	1963	     0	  18.5

        76	   822	    7683	 7683	     HEIDI	        NA	    SCHMIDT	        NA	21	12	1988		
        76	   822	    8995	 8995	    HEIDIC	        NA	    SCHMIDT	        NA	21	12	1988	     0	  18.5

        77	   821	    3411	 3411	      JENS	   JUERGEN	      KLEIN	        NA	16	 8	1933		
        77	   821	    3461	 3461	     JENSB	   JUERGEN	      KLEIN	        NA	16	 8	1933	     0	  18.2

        78	    59	     893	  893	      ROLF	        NA	   SCHUBERT	        NA	13	10	1983		
        78	    59	    2240	 2240	     ROLMF	        NA	   SCHUBERT	        NA	13	10	1983	     0	  18.1

        79	   819	     178	  178	    MARTIN	        NA	   SCHUBERT	        NA	20	11	1948		
        79	   819	    1570	 1570	   MARTKIN	        NA	   SCHUBERT	        NA	20	11	1948	     0	  18.0

        80	    96	     495	  495	    THOMAS	        NA	    MUELKER	        NA	12	12	1962		
        80	    96	    3490	 3490	    THOMAS	        NA	    MUELLER	        NA	12	12	1962	     0	  18.0

        81	   817	    7515	 7515	   CLAUDIA	        NA	     WIBTER	        NA	10	 1	1953		
        81	   817	    7707	 7707	   CLAUDIA	        NA	     WINTER	        NA	10	 1	1953	     0	  18.0

        82	   816	    8966	 8966	  BRIGITTE	        NA	       LANG	        NA	16	12	1992		
        82	   816	    9250	 9250	  BRIGITTE	        NA	       LANG	        NA	18	12	1996	     0	  18.0

        83	   815	    5253	 5253	    RENATE	        NA	       HORN	        NA	81	11	1994		
        83	   815	    7266	 7266	    RENATE	        NA	       HORN	        NA	18	11	1994	     0	  17.9

        84	   814	     552	  552	   MARTIZN	      OLAF	    SCHULZE	        NA	 5	 7	1942		
        84	   814	     890	  890	    MARTIN	      OLAF	    SCHULZE	        NA	 5	 7	1942	     0	  17.9

        85	   813	    7389	 7389	  CHRISNTA	    REGINA	   SCHAEFER	        NA	 4	 6	1980		
        85	   813	    8015	 8015	   CHRISTA	    REGINA	   SCHAEFER	        NA	 4	 6	1980	     0	  17.8

        86	   812	    1477	 1477	       UWE	        NA	     WINTER	        NA	12	11	1973		
        86	   812	    3709	 3709	       UWE	        NA	     WINTER	        NA	12	11	1963	     0	  17.8

        87	   234	    7537	 7537	   SUSANNE	        NA	       OTTO	        NA	14	10	1964		
        87	   234	    7563	 7563	   SUSANNE	        NA	       OTTO	        NA	14	10	1764	     0	  17.8

        88	   810	    1539	 1539	    THOMAS	        NA	  SCHREIBER	        NA	15	12	2004		
        88	   810	    2522	 2522	   THOQMAS	        NA	  SCHREIBER	        NA	15	12	2004	     0	  17.7

        89	   280	    7529	 7529	    SABINE	        NA	      WOLFF	        NA	10	11	1927		
        89	   280	    9042	 9042	    SABINE	        NA	      WOLFF	        NA	10	11	1957	     0	  17.7

        90	   808	     272	  272	  GUENTHER	    HELMUT	      BRAUN	        NA	 5	19	1950		
        90	   808	    4652	 4652	  GUENTHER	    HELMUT	      BRAUN	        NA	 5	12	1950	     0	  17.6

        91	   807	    1499	 1499	    STEFAN	        NA	      STEIN	        NA	21	11	1938		
        91	   807	    4635	 4635	   STEFEAN	        NA	      STEIN	        NA	21	11	1938	     0	  17.6

        92	   806	    1184	 1184	   MICHAEL	        NA	       GRAF	        NA	13	12	1964		
        92	   806	    1449	 1449	  MICHCAEL	        NA	       GRAF	        NA	13	12	1964	     0	  17.6

        93	   276	    3858	 3858	      GERD	        NA	  SCHNEIDER	        NA	10	11	1954		
        93	   276	    4072	 4072	      GERD	        NA	  SCHNEIDER	        NA	10	11	1955	     0	  17.6

        94	    11	    3096	 3096	     HORST	        NA	      MAYER	        NA	14	 1	1972		
        94	    11	    4845	 4845	     HORST	        NA	      MAYER	        NA	17	 1	1952	     0	  17.5

        95	   803	    7004	 7004	 CHRISTINA	        NA	     BECKER	        NA	11	10	1960		
        95	   803	    8923	 8923	CHRISTTINA	        NA	     BECKER	        NA	11	10	1960	     0	  17.5

        96	   802	    7606	 7606	    SABINE	    URSULA	     PETEFS	        NA	25	10	1935		
        96	   802	    9728	 9728	    SABINE	    URSULA	     PETERS	        NA	25	10	1935	     0	  17.5

        97	   801	    7153	 7153	   CLAUDIA	        NA	     WALTER	        NA	 1	 1	1926		
        97	   801	    7746	 7746	  CLAUDNIA	        NA	     WALTER	        NA	 1	 1	1926	     0	  17.5

        98	   800	     305	  305	  THORSTEN	        NA	       KOCH	        NA	19	13	1939		
        98	   800	    4603	 4603	  THORSTEN	        NA	       KOCH	        NA	19	12	1939	     0	  17.5

        99	   799	    2741	 2741	  GUENTHER	        NA	     JAETER	        NA	14	 1	1946		
        99	   799	    3541	 3541	  GUENTHER	        NA	     JAEGER	        NA	14	 1	1946	     0	  17.5

       100	   798	    8657	 8657	    URSULA	        NA	     LORENZ	        NA	20	12	1947		
       100	   798	    8707	 8707	    URSULA	        NA	     LORENZ	        NA	20	12	1957	     0	  17.5

       101	   797	    2409	 2409	      HANS	        NA	   PFEIFFER	        NA	 1	12	1970		
       101	   797	    4310	 4310	      HANS	        NA	   PFIEFFER	        NA	 1	12	1970	     0	  17.4

       102	   796	    7089	 7089	 HANNELORE	        NA	  SCHNEIDER	        NA	30	12	1982		
       102	   796	    9572	 9572	 HANNELORE	        NA	  SCHNEIDER	        NA	30	17	1982	     0	  17.4

       103	   795	     173	  173	  JUERGUEN	        NA	     WAGNER	  HOFFMANN	25	 2	1970		
       103	   795	    1169	 1169	   JUERGEN	        NA	     WAGNER	  HOFFMANN	25	 2	1970	     0	  17.4

       104	   794	    4080	 4080	  JOACHIJM	        NA	  SCHREIBER	        NA	10	 2	1953		
       104	   794	    4616	 4616	   JOACHIM	        NA	  SCHREIBER	        NA	10	 2	1953	     0	  17.3

       105	   793	    5692	 5692	    GISELA	        NA	      FRANK	        NA	31	10	1942		
       105	   793	    7870	 7870	   GISELAK	        NA	      FRANK	        NA	31	10	1942	     0	  17.3

       106	   792	     650	  650	 WOLFGQANG	        NA	   PFEIFFER	        NA	11	 8	1924		
       106	   792	    4234	 4234	  WOLFGANG	        NA	   PFEIFFER	        NA	11	 8	1924	     0	  17.3

       107	   791	    4325	 4325	   GERHARD	        NA	       WOLF	        NA	21	 1	2007		
       107	   791	    4395	 4395	   GERHARD	        NA	       WOLF	        NA	21	 1	2005	     0	  17.3

       108	   790	     332	  332	  WOLFGANG	        NA	      WEISS	        NA	13	12	1943		
       108	   790	    2931	 2931	 WOLFZGANG	        NA	      WEISS	        NA	13	12	1943	     0	  17.3

       109	   789	    2167	 2167	 GUENKTHER	        NA	   SCHUSTER	        NA	30	 5	1956		
       109	   789	    3506	 3506	  GUENTHER	        NA	   SCHUSTER	        NA	30	 5	1956	     0	  17.2

       110	   788	     557	  557	  THORSTEN	    OLIVER	     SCHULZ	        NA	20	 9	1983		
       110	   788	    3278	 3278	  THORSTEN	    OLIVER	     SCHUWZ	        NA	20	 9	1983	     0	  17.2

       111	   787	    1281	 1281	  GERHARGD	    HELMUT	    KOERTIG	        NA	 5	 3	1973		
       111	   787	    2672	 2672	   GERHARD	    HELMUT	    KOERTIG	        NA	 5	 3	1973	     0	  17.2

       112	   786	    1933	 1933	     FRANK	        NA	     WERNER	        NA	17	12	2001		
       112	   786	    2041	 2041	    FRANKR	        NA	     WERNER	        NA	17	12	2001	     0	  17.2

       113	   785	    2416	 2416	  ANDRUEAS	      RALF	    KOEHLER	        NA	29	 7	1958		
       113	   785	    2704	 2704	   ANDREAS	      RALF	    KOEHLER	        NA	29	 7	1958	     0	  17.2

       114	   784	    4404	 4404	    MARTIN	    THOMAS	 SCHUMACHER	        NA	29	12	1985		
       114	   784	    4438	 4438	    MARTIN	    THOMAS	SCHUMEACHER	        NA	29	12	1985	     0	  17.2

       115	    11	    1776	 1776	  WOLFGANG	        NA	      MAYER	        NA	14	 1	1984		
       115	    11	    4421	 4421	 WOLTFGANG	        NA	      MAYER	        NA	14	 1	1984	     0	  17.2

       116	   782	    3698	 3698	  ANDREEAS	     PETER	      VOIGT	        NA	 8	 5	1955		
       116	   782	    4301	 4301	   ANDREAS	     PETER	      VOIGT	        NA	 8	 5	1955	     0	  17.2

       117	   781	    7095	 7095	   URSURLA	        NA	    KRAEMER	        NA	20	 7	1983		
       117	   781	    8518	 8518	    URSULA	        NA	    KRAEMER	        NA	20	 7	1983	     0	  17.1

       118	   780	    3421	 3421	    STEFAN	        NA	      LANGE	        NA	14	11	1949		
       118	   780	    3651	 3651	    STEFAN	        NA	      LANGE	        NA	14	11	1969	     0	  17.1

       119	   779	    6779	 6779	    PEGTRA	        NA	   SCHUSTER	        NA	19	 6	1940		
       119	   779	    9540	 9540	     PETRA	        NA	   SCHUSTER	        NA	19	 6	1940	     0	  17.1

       120	   778	    5414	 5414	 ANGELBIKA	        NA	     LUDWIG	        NA	19	 2	1974		
       120	   778	    5568	 5568	  ANGELIKA	        NA	     LUDWIG	        NA	19	 2	1974	     0	  17.1

       121	   777	    6301	 6301	  JOHCANNA	        NA	       OTTO	        NA	 1	 0	1967		
       121	   777	    7191	 7191	   JOHANNA	        NA	       OTTO	        NA	 1	 3	1967	     0	  17.1

       122	   296	     323	  323	   ANDREAS	        NA	    KRUEGER	        NA	10	13	1967		
       122	   296	    2489	 2489	   ANDREAS	        NA	    KRUEGER	        NA	10	12	1967	     0	  17.0

       123	   775	    6564	 6564	    INGRID	        NA	      BRAUN	        NA	14	10	1967		
       123	   775	    6683	 6683	    INGRID	        NA	      BRAUN	        NA	14	10	1977	     0	  17.0

       124	   774	    1119	 1119	CHRISOTIAN	        NA	     SCHOLZ	        NA	 1	 9	1986		
       124	   774	    4630	 4630	 CHRISTIAN	        NA	     SCHOLZ	        NA	 1	 9	1986	     0	  17.0

       125	   773	    7098	 7098	 MARIANRNE	        NA	       JUNG	        NA	13	 3	1941		
       125	   773	    7954	 7954	  MARIANNE	        NA	       JUNG	        NA	13	 3	1941	     0	  17.0

       126	   772	    2658	 2658	     HORST	   ANDREAS	       KOCH	        NA	 5	12	1979		
